"id_buffer","diversidade_shannon","perc_floresta","densidade_borda_m_ha"
1,1.01213979989988,50.1475726837874,8.07266686557076
2,0.253190777250086,94.7398765515838,2.0393620712224
3,0.415463986856616,88.3806875974774,9.08196696884771
4,0.746929800688292,30.6202733407943,18.8989016723524
5,0.625166183419678,27.93299877933,10.4455154648513
6,0.68598429164121,59.6697073485028,6.58636031587714
7,1.10618258256691,25.1781230915383,14.5322793700743
8,0.498328672962816,86.1471127095067,5.35686874677611
9,0.68000867565057,76.7306258051393,5.05817675935567
10,0.688642252242824,54.7424463359219,6.51002832546131
11,0.836499545390522,7.08081699124652,14.2158859003041
12,0.854442587932891,52.2408821034775,22.8995641983038
13,0.422947303689868,85.3804937601736,10.828605277274
14,0.575040249253281,21.2193137121931,14.1308852217613
15,0.881042649515552,49.7795713510581,15.3432503777688
