"id_buffer","class","Categoria","pland","np","ai","edge","enn_mean","shannon_paisagem"
1,3,"Formação Florestal",50.1475726837874,14,99.1371077762619,8.07266686557076,169.008172033746,1.01213979989988
1,6,"Floresta Alagável",38.1585643043729,5,98.0702777902437,10.7890101757425,118.172113812587,1.01213979989988
1,11,"Campo Alagado",0.0373172303830105,1,86.6666666666667,0.196362167000368,NA,1.01213979989988
1,15,"Pastagem",10.560776198392,6,95.0114491331371,7.11267404912449,233.073936499952,1.01213979989988
1,33,"Corpo d'Água",0.281575465617261,9,39.4557823129252,2.34543699472664,173.296390365035,1.01213979989988
1,39,"Soja",0.74634460766021,2,96.3414634146341,0.599995510278905,62.1958493750426,1.01213979989988
1,41,"Outras lavouras temporárias",0.0678495097872918,1,77.4193548387097,0.338179287611741,NA,1.01213979989988
2,3,"Formação Florestal",94.7398765515838,1,99.8559467002791,2.0393620712224,NA,0.253190777250086
2,11,"Campo Alagado",0.0576544800922472,1,96,0.218113590505067,NA,0.253190777250086
2,15,"Pastagem",2.48253408397205,11,86.7991483321505,4.37317748962664,98.3468929778949,0.253190777250086
2,25,"Outras Áreas não Vegetadas",0.0169572000271315,1,80,0.0763397566767738,NA,0.253190777250086
2,39,"Soja",2.51305704402089,2,92.9922915206727,2.91181643324267,310.979246875257,0.253190777250086
2,41,"Outras lavouras temporárias",0.189920640303873,2,94.8453608247423,0.43622718101014,1456.63157256641,0.253190777250086
3,3,"Formação Florestal",88.3806875974774,1,99.2376136341704,9.08196696884771,NA,0.415463986856616
3,15,"Pastagem",9.43242693429172,4,97.1967753755955,3.80504978646802,1589.28591955217,0.415463986856616
3,29,"Afloramento Rochoso",2.18688546823083,12,83.8579499596449,5.47316616850124,402.475634060488,0.415463986856616
4,3,"Formação Florestal",30.6202733407943,20,95.2370291599037,18.8989016723524,236.74183250144,0.746929800688292
4,4,"Formação Savânica",0.339132499067386,5,82.2222222222222,1.13415220653471,1328.32771750144,0.746929800688292
4,15,"Pastagem",66.5751008919185,7,97.3166414407019,24.8859166856943,123.795979330369,0.746929800688292
4,39,"Soja",2.39766676840642,5,87.1323529411765,4.51479820678244,127.715405777833,0.746929800688292
4,41,"Outras lavouras temporárias",0.0678264998134771,2,61.2903225806452,0.403496458094078,4190.034250378,0.746929800688292
5,3,"Formação Florestal",27.93299877933,9,97.8458328218976,10.4455154648513,420.007757569161,0.625166183419678
5,4,"Formação Savânica",0.0237352502373525,1,100,0.130841529831123,NA,0.625166183419678
5,12,"Formação Campestre",0.132239251322393,3,84.6153846153846,0.501559197685975,1737.06597127478,0.625166183419678
5,15,"Pastagem",71.6465482164655,2,98.6132621696967,11.8738688321744,112.125162021391,0.625166183419678
5,25,"Outras Áreas não Vegetadas",0.020344500203445,1,71.4285714285714,0.152648451469645,NA,0.625166183419678
5,29,"Afloramento Rochoso",0.111894751118948,1,90.7407407407407,0.370717667854849,NA,0.625166183419678
5,33,"Corpo d'Água",0.02712600027126,1,80,0.174455373108165,NA,0.625166183419678
5,39,"Soja",0.0847687508476875,3,65,0.447041893589673,1310.84204194739,0.625166183419678
5,41,"Outras lavouras temporárias",0.020344500203445,1,100,0.109034608192602,NA,0.625166183419678
6,3,"Formação Florestal",59.6697073485028,7,99.4244975090191,6.58636031587714,213.452582562832,0.68598429164121
6,15,"Pastagem",40.1607379022686,3,98.7600136355889,6.28103235421396,660.771328297788,0.68598429164121
6,29,"Afloramento Rochoso",0.145817084336532,1,91.6666666666667,0.43618280237597,NA,0.68598429164121
6,39,"Soja",0.0237376648919936,1,100,0.130854840712788,NA,0.68598429164121
7,3,"Formação Florestal",25.1781230915383,11,95.9983638966528,14.5322793700743,411.42199174676,1.10618258256691
7,4,"Formação Savânica",0.603922100834634,5,83.5866261398176,1.76743938284687,317.118850176276,1.10618258256691
7,6,"Floresta Alagável",0.0339282079120581,4,46.1538461538462,0.305483350121685,497.904959583639,1.10618258256691
7,11,"Campo Alagado",0.00339282079120581,1,NA,0.0436404785888118,NA,1.10618258256691
7,15,"Pastagem",21.9956571893873,44,89.0815370196813,32.2939541557206,154.49342594773,1.10618258256691
7,39,"Soja",51.1060595779331,12,95.8734939759036,27.7226140235425,106.835512109968,1.10618258256691
7,41,"Outras lavouras temporárias",1.07891701160345,31,56.1666666666667,6.46970095079131,292.643067920516,1.10618258256691
8,3,"Formação Florestal",86.1471127095067,4,99.6353764144026,5.35686874677611,148.732073908759,0.498328672962816
8,4,"Formação Savânica",0.0135712831648232,1,50,0.130921435766426,NA,0.498328672962816
8,15,"Pastagem",8.06812784148741,6,94.0103048518678,7.14612836891723,292.231585725439,0.498328672962816
8,39,"Soja",5.75761688267626,2,96.5871337964361,2.57478823673964,1528.86709145321,0.498328672962816
8,41,"Outras lavouras temporárias",0.0135712831648232,1,100,0.0872809571776151,NA,0.498328672962816
9,3,"Formação Florestal",76.7306258051393,4,99.5596770965375,5.05817675935567,377.869420570805,0.68000867565057
9,4,"Formação Savânica",0.125432232693742,14,37.7049180327869,1.04651932952187,296.954810940432,0.68000867565057
9,11,"Campo Alagado",0.0101701810292223,2,50,0.109012430158526,779.31175897651,0.68000867565057
9,15,"Pastagem",4.89524713539901,10,90.5049786628734,6.57344953855917,421.058880763637,0.68000867565057
9,33,"Corpo d'Água",0.152552715438335,3,73.6842105263158,0.741284525077982,512.250072379203,0.68000867565057
9,39,"Soja",18.0791918096142,2,98.0226257248788,6.11559733189335,124.391698750098,0.68000867565057
9,41,"Outras lavouras temporárias",0.00678012068614821,1,100,0.0654074580951178,NA,0.68000867565057
