"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",43275,53.507839161185,"Formação Florestal","#006400"
1,"Floresta Alagável",17401,21.515653593155,"Floresta Alagável","#007785"
1,"Campo Alagado",1167,1.4429497007765,"Campo Alagado","#00FF7F"
1,"Pastagem",15270,18.8807557248133,"Pastagem","#edde8e"
1,"Corpo d'Água",166,0.205252485286117,"Corpo d'Água","#0000ff"
1,"Soja",3469,4.28928235817795,"Soja","#f5b3c8"
1,"Outras lavouras temporárias",121,0.149611751323013,"Outras lavouras temporárias","#f54ca9"
1,"Afloramento Rochoso",7,0.00865522528314951,"Afloramento Rochoso","#fc8114"
2,"Formação Florestal",65177,80.5828243614154,"Formação Florestal","#006400"
2,"Formação Savânica",11,0.0136000593457135,"Formação Savânica","#7cfc00"
2,"Floresta Alagável",55,0.0680002967285675,"Floresta Alagável","#007785"
2,"Campo Alagado",177,0.218837318562845,"Campo Alagado","#00FF7F"
2,"Pastagem",9726,12.0249251996736,"Pastagem","#edde8e"
2,"Outras Áreas não Vegetadas",208,0.257164758537128,"Outras Áreas não Vegetadas","#d3d3d3"
2,"Corpo d'Água",49,0.0605820825399965,"Corpo d'Água","#0000ff"
2,"Soja",4895,6.05202640884251,"Soja","#f5b3c8"
2,"Outras lavouras temporárias",584,0.722039514354244,"Outras lavouras temporárias","#f54ca9"
3,"Formação Florestal",58197,71.9529685220445,"Formação Florestal","#006400"
3,"Floresta Alagável",28,0.034618332879998,"Floresta Alagável","#007785"
3,"Pastagem",21783,26.931826611607,"Pastagem","#edde8e"
3,"Outras Áreas não Vegetadas",13,0.0160727974085705,"Outras Áreas não Vegetadas","#d3d3d3"
3,"Afloramento Rochoso",861,1.06451373605994,"Afloramento Rochoso","#fc8114"
4,"Formação Florestal",26877,33.2303013068582,"Formação Florestal","#006400"
4,"Formação Savânica",257,0.317750769649238,"Formação Savânica","#7cfc00"
4,"Pastagem",52625,65.0647247190317,"Pastagem","#edde8e"
4,"Soja",928,1.14736464682682,"Soja","#f5b3c8"
4,"Outras lavouras temporárias",56,0.0692375217912736,"Outras lavouras temporárias","#f54ca9"
