"paisagem","diversidade_shannon","perc_floresta","num_fragmentos","proximidade_fragmentos","indice_agregação","densidade_borda_m_ha"
1,1.1991050677732,53.5748893004771,8.19620239367159,8.19620239367159,8.19620239367159,8.19620239367159
2,0.677042483905052,80.428194589289,4.7265162878965,4.7265162878965,4.7265162878965,4.7265162878965
3,0.645554295781025,71.7093639575972,8.34844004558241,8.34844004558241,8.34844004558241,8.34844004558241
4,0.731615562570038,33.2004220444619,18.794903861198,18.794903861198,18.794903861198,18.794903861198
5,0.525554469702523,18.6202071775738,9.44455699212727,9.44455699212727,9.44455699212727,9.44455699212727
6,0.731102455485368,44.2329158642346,7.62465668472732,7.62465668472732,7.62465668472732,7.62465668472732
7,1.15584309541165,23.9095235758795,14.1013002020496,14.1013002020496,14.1013002020496,14.1013002020496
8,0.885480887423833,69.6992748733175,6.11542572723139,6.11542572723139,6.11542572723139,6.11542572723139
9,0.610319575921629,71.2758868156654,7.28169365225897,7.28169365225897,7.28169365225897,7.28169365225897
10,0.70299799918978,9.59092302974548,16.3612519615563,16.3612519615563,16.3612519615563,16.3612519615563
11,0.88049685058442,43.8220030181457,16.2149459707704,16.2149459707704,16.2149459707704,16.2149459707704
12,0.649427419632265,68.3757957876918,14.7956995470316,14.7956995470316,14.7956995470316,14.7956995470316
13,0.733382161519431,32.7067715298823,17.7386800449241,17.7386800449241,17.7386800449241,17.7386800449241
14,0.971118543710274,42.3888136010841,16.4724247237982,16.4724247237982,16.4724247237982,16.4724247237982
15,0.654081484618834,12.2068838579054,14.6981916392921,14.6981916392921,14.6981916392921,14.6981916392921
