"Ano","Classe","Categoria","Porc_Cobertura","Densi_Borda","Num_Fragmentos","Area"
"1985",3,"Formação Florestal",72.694052106177,9.03369736072788,1752,924946.65481352
"1985",4,"Formação Savânica",1.54081385014741,3.00332181442132,2200,19605.0512399911
"1985",6,"Floresta Alagável",6.88804382598602,3.17699741225727,1164,87642.2886118536
"1985",11,"Campo Alagado",4.98703232202192,2.75453995256202,1137,63454.1441845022
"1985",12,"Formação Campestre",0.162917784169165,0.48522117138154,626,2072.93795174331
"2005",3,"Formação Florestal",41.6423024710223,14.3680262773173,4553,529849.516615845
"2005",4,"Formação Savânica",1.51599045462156,3.09930043427803,2064,19289.2026115613
"2005",6,"Floresta Alagável",5.97657069731168,2.89360752245881,1264,76044.8608045776
"2005",11,"Campo Alagado",4.7555575789908,2.82576014565152,1472,60508.8992430354
"2005",12,"Formação Campestre",0.150969719941783,0.460560507405115,664,1920.9128311396
"2024",3,"Formação Florestal",29.8806949304257,13.7440797058067,6103,380196.838924764
"2024",4,"Formação Savânica",1.36149407958976,2.9519719085596,3027,17323.4172257397
"2024",6,"Floresta Alagável",5.27691728998142,2.41603628945647,1252,67142.5908128899
"2024",11,"Campo Alagado",3.64923675659308,2.75109381418672,2116,46432.2627895783
"2024",12,"Formação Campestre",0.122399253382796,0.388729296873188,596,1557.38711336012
