"id_buffer","diversidade_shannon","perc_floresta","densidade_borda_m_ha"
1,0,100,0
2,0,100,0
3,0,100,0
4,0,100,0
5,0,100,0
6,0,100,0
7,0,100,0
8,0.41073710350513,85.6796116504854,12.2015737211719
9,0,100,0
10,0.568632746149997,74.4186046511628,15.7672110846115
11,0.177556766291924,95.6937799043062,19.9187771961382
12,0,100,0
13,0,100,0
14,0,100,0
15,0,100,0
